threshold,precision,recall,f1,accuracy
0.0,0.35,1.0,0.52,0.35
0.05,0.45,1.0,0.62,0.57
0.1,0.52,0.98,0.68,0.68
0.15,0.55,0.94,0.7,0.71
0.2,0.57,0.94,0.71,0.73
0.25,0.59,0.92,0.72,0.75
0.3,0.63,0.88,0.73,0.78
0.35,0.64,0.84,0.72,0.78
0.4,0.64,0.78,0.7,0.77
0.45,0.67,0.78,0.72,0.79
0.5,0.66,0.74,0.7,0.78
0.55,0.67,0.7,0.69,0.78
0.6,0.72,0.66,0.69,0.79
0.65,0.73,0.6,0.66,0.78
0.7,0.75,0.42,0.54,0.75
0.75,0.69,0.18,0.29,0.69
0.8,0.75,0.06,0.11,0.66
0.85,1.0,0.04,0.08,0.66
0.9,1.0,0.02,0.04,0.66
0.95,0.0,0.0,0.0,0.65
1.0,0.0,0.0,0.0,0.65
