threshold,precision,recall,f1,accuracy
0.0,0.35,1.0,0.52,0.35
0.05,0.44,1.0,0.61,0.55
0.1,0.52,0.96,0.68,0.68
0.15,0.55,0.92,0.69,0.71
0.2,0.59,0.92,0.72,0.75
0.25,0.6,0.92,0.72,0.76
0.3,0.62,0.9,0.73,0.77
0.35,0.63,0.82,0.71,0.77
0.4,0.65,0.82,0.73,0.78
0.45,0.66,0.76,0.7,0.78
0.5,0.67,0.72,0.69,0.78
0.55,0.68,0.68,0.68,0.78
0.6,0.74,0.62,0.67,0.79
0.65,0.74,0.52,0.61,0.77
0.7,0.74,0.4,0.52,0.74
0.75,0.7,0.32,0.44,0.71
0.8,0.75,0.18,0.29,0.69
0.85,0.8,0.16,0.27,0.69
0.9,0.8,0.08,0.15,0.67
0.95,1.0,0.08,0.15,0.68
1.0,0.0,0.0,0.0,0.65
