threshold,precision,recall,f1,accuracy
0.0,0.35,1.0,0.52,0.35
0.05,0.42,1.0,0.6,0.52
0.1,0.48,1.0,0.65,0.62
0.15,0.49,0.98,0.66,0.64
0.2,0.53,0.96,0.69,0.69
0.25,0.55,0.92,0.69,0.71
0.3,0.61,0.9,0.73,0.76
0.35,0.65,0.86,0.74,0.79
0.4,0.67,0.8,0.73,0.79
0.45,0.66,0.74,0.7,0.78
0.5,0.66,0.62,0.64,0.76
0.55,0.67,0.48,0.56,0.73
0.6,0.65,0.34,0.45,0.71
0.65,0.67,0.2,0.31,0.69
0.7,0.7,0.14,0.23,0.68
0.75,1.0,0.02,0.04,0.66
0.8,0.0,0.0,0.0,0.65
0.85,0.0,0.0,0.0,0.65
0.9,0.0,0.0,0.0,0.65
0.95,0.0,0.0,0.0,0.65
1.0,0.0,0.0,0.0,0.65
