threshold,precision,recall,f1,accuracy
0.0,0.35,1.0,0.52,0.35
0.05,0.49,1.0,0.65,0.63
0.1,0.56,0.96,0.71,0.72
0.15,0.55,0.94,0.7,0.71
0.2,0.57,0.92,0.71,0.73
0.25,0.59,0.9,0.71,0.75
0.3,0.62,0.86,0.72,0.77
0.35,0.64,0.84,0.72,0.78
0.4,0.64,0.78,0.7,0.77
0.45,0.66,0.74,0.7,0.78
0.5,0.65,0.72,0.69,0.77
0.55,0.65,0.7,0.67,0.76
0.6,0.7,0.66,0.68,0.78
0.65,0.74,0.64,0.69,0.8
0.7,0.72,0.42,0.53,0.74
0.75,0.73,0.22,0.34,0.7
0.8,0.71,0.1,0.18,0.67
0.85,1.0,0.04,0.08,0.66
0.9,1.0,0.02,0.04,0.66
0.95,0.0,0.0,0.0,0.65
1.0,0.0,0.0,0.0,0.65
